timestamp,open,high,low,close,volume
2024-01-01 09:00:00,1.1,1.10047,1.09988,1.10035,3875
2024-01-01 09:15:00,1.10035,1.10076,1.1,1.10072,1105
2024-01-01 09:30:00,1.10072,1.101,1.09979,1.10025,3604
2024-01-01 09:45:00,1.10025,1.10123,1.10022,1.10093,1614
2024-01-01 10:00:00,1.10093,1.10151,1.10088,1.10136,2679
2024-01-01 10:15:00,1.10136,1.10155,1.10009,1.10029,4442
2024-01-01 10:30:00,1.10029,1.10133,1.09991,1.10084,3702
2024-01-01 10:45:00,1.10084,1.10251,1.10079,1.10212,2748
2024-01-01 11:00:00,1.10212,1.1025,1.10181,1.10215,4086
2024-01-01 11:15:00,1.10215,1.10233,1.10074,1.10078,3822
2024-01-01 11:30:00,1.10078,1.1011,1.09934,1.0995,2479
2024-01-01 11:45:00,1.0995,1.09997,1.09912,1.09924,4104
2024-01-01 12:00:00,1.09924,1.10024,1.09918,1.10016,3941
2024-01-01 12:15:00,1.10016,1.10035,1.09975,1.09987,4616
2024-01-01 12:30:00,1.09987,1.10001,1.09938,1.09995,3854
2024-01-01 12:45:00,1.09995,1.10026,1.0994,1.0995,4241
2024-01-01 13:00:00,1.0995,1.10004,1.09932,1.09981,2164
2024-01-01 13:15:00,1.09981,1.10124,1.09973,1.1009,2325
2024-01-01 13:30:00,1.1009,1.10241,1.10043,1.10219,1139
2024-01-01 13:45:00,1.10219,1.10391,1.10212,1.10365,1967
2024-01-01 14:00:00,1.10365,1.10374,1.10255,1.1028,1326
2024-01-01 14:15:00,1.1028,1.10365,1.10266,1.10348,4428
2024-01-01 14:30:00,1.10348,1.10428,1.10333,1.10381,3746
2024-01-01 14:45:00,1.10381,1.10537,1.10378,1.10496,2260
2024-01-01 15:00:00,1.10496,1.10544,1.10318,1.10363,3668
2024-01-01 15:15:00,1.10363,1.10405,1.10283,1.10314,4932
2024-01-01 15:30:00,1.10314,1.10326,1.10313,1.10314,4854
2024-01-01 15:45:00,1.10314,1.10345,1.1024,1.10287,2616
2024-01-01 16:00:00,1.10287,1.10326,1.10168,1.10172,1869
2024-01-01 16:15:00,1.10172,1.10301,1.10155,1.10282,3271
2024-01-01 16:30:00,1.10282,1.10334,1.10275,1.10296,2323
2024-01-01 16:45:00,1.10296,1.10347,1.10266,1.10307,4688
2024-01-01 17:00:00,1.10307,1.10309,1.10162,1.10199,4844
2024-01-01 17:15:00,1.10199,1.10305,1.10197,1.10265,1653
2024-01-01 17:30:00,1.10265,1.10297,1.10171,1.10188,4392
2024-01-01 17:45:00,1.10188,1.10298,1.10174,1.10289,4680
2024-01-01 18:00:00,1.10289,1.10423,1.10258,1.10391,4270
2024-01-01 18:15:00,1.10391,1.104,1.10358,1.10366,4775
2024-01-01 18:30:00,1.10366,1.10471,1.10326,1.10427,4121
2024-01-01 18:45:00,1.10427,1.10532,1.10395,1.10503,3328
2024-01-01 19:00:00,1.10503,1.10537,1.10422,1.10454,3592
2024-01-01 19:15:00,1.10454,1.10541,1.10441,1.10496,2732
2024-01-01 19:30:00,1.10496,1.10521,1.10403,1.10412,3093
2024-01-01 19:45:00,1.10412,1.10452,1.10366,1.10405,1361
2024-01-01 20:00:00,1.10405,1.10429,1.10256,1.10268,1231
2024-01-01 20:15:00,1.10268,1.10281,1.10241,1.10248,3346
